gutenberg_id	title	author	sentence
1342	Pride and Prejudice	Jane Austen	But if you are really innocent and ignorant, I must be more explicit
1342	Pride and Prejudice	Jane Austen	Bennet, and they gave way only to the greater distress of Mr
345	Dracula	Bram Stoker	We all knew that the time when she could speak was passing; but we felt that it was useless to say anything
345	Dracula	Bram Stoker	Suddenly his eyes opened, and became fixed in a wild, helpless stare
345	Dracula	Bram Stoker	In selfish men caution is as secure an armour for their foes as for themselves
345	Dracula	Bram Stoker	To this I am willing; but is there none amongst us who has a better right
1342	Pride and Prejudice	Jane Austen	Collins took his station between his cousin Elizabeth and Mrs
345	Dracula	Bram Stoker	And now this is what he is to us
1342	Pride and Prejudice	Jane Austen	You are not going to be _missish_, I hope, and pretend to be affronted at an idle report
345	Dracula	Bram Stoker	Madam Mina still sleep and sleep; and though I did have hunger and appeased it, I could not waken her--even for food
345	Dracula	Bram Stoker	As it was, the point just cut the cloth of his coat, making a wide gap whence a bundle of bank-notes and a stream of gold fell out
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Then, when he had left, you rifled the jewel-case, raised the alarm, and had this unfortunate man arrested
345	Dracula	Bram Stoker	The poor fellow was quite broken down; now and again he gave a low groan which he could not suppress--he was thinking of his wife
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	He had risen out of his drug-created dreams and was hot upon the scent of some new problem
345	Dracula	Bram Stoker	Van Helsing--that I am the train fiend
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Outside, the stars were shining coldly in a cloudless sky, and the breath of the passers-by blew out into smoke like so many pistol shots
345	Dracula	Bram Stoker	In the soft light the distant hills became melted, and the shadows in the valleys and gorges of velvety blackness
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	Singularity is almost invariably a clue
1342	Pride and Prejudice	Jane Austen	But he had given a reason for his interference, which asked no extraordinary stretch of belief
345	Dracula	Bram Stoker	He believes it all himself
1661	The Adventures of Sherlock Holmes	Arthur Conan Doyle	At such times I have seen his face, even on a cold day, glisten with moisture, as though it were new raised from a basin
1342	Pride and Prejudice	Jane Austen	He _spoke_ of apprehension and anxiety, but his countenance expressed real security
345	Dracula	Bram Stoker	It is now close to the time of our general gathering
1342	Pride and Prejudice	Jane Austen	I have been a selfish being all my life, in practice, though not in principle
